Titel ID,Titel,Satz,Suspense
1,Das Bettelweib von Locarno,"Am Fuße der Alpen, bei Locarno im oberen Italien, befand sich ein altes, einem Marchese gehöriges Schloß, das man jetzt, wenn man vom St. Gotthard kommt, in Schutt und Trümmern liegen sieht: ein Schloß mit hohen und weitläufigen Zimmern, in deren einem einst, auf Stroh, das man ihr unterschüttete, eine alte kranke Frau, die sich bettelnd vor der Tür eingefunden hatte, von der Hausfrau aus Mitleiden gebettet worden war."
1,Das Bettelweib von Locarno,"Der Marchese, der, bei der Rückkehr von der Jagd, zufällig in das Zimmer trat, wo er seine Büchse abzusetzen pflegte, befahl der Frau unwillig, aus dem Winkel, in welchem sie lag, aufzustehen, und sich hinter den Ofen zu verfügen."
1,Das Bettelweib von Locarno,"Die Frau, da sie sich erhob, glitschte mit der Krücke auf dem glatten Boden aus, und beschädigte sich, auf eine gefährliche Weise, das Kreuz; dergestalt, daß sie zwar noch mit unsäglicher Mühe aufstand und quer, wie es vorgeschrieben war, über das Zimmer ging, hinter den Ofen aber, unter Stöhnen und Ächzen, niedersank und verschied."
1,Das Bettelweib von Locarno,"Mehrere Jahre nachher, da der Marchese, durch Krieg und Mißwachs, in bedenkliche Vermögensumstände geraten war, fand sich ein florentinischer Ritter bei ihm ein, der das Schloß, seiner schönen Lage wegen, von ihm kaufen wollte."
1,Das Bettelweib von Locarno,"Der Marchese, dem viel an dem Handel gelegen war, gab seiner Frau auf, den Fremden in dem obenerwähnten, leerstehenden Zimmer, das sehr schön und prächtig eingerichtet war, unterzubringen."
1,Das Bettelweib von Locarno,"Aber wie betreten war das Ehepaar, als der Ritter mitten in der Nacht, verstört und bleich, zu ihnen herunterkam, hoch und teuer versichernd, daß es in dem Zimmer spuke, indem etwas, das dem Blick unsichtbar gewesen, mit einem Geräusch, als ob es auf Stroh gelegen, im Zimmerwinkel aufgestanden, mit vernehmlichen Schritten, langsam und gebrechlich, quer über das Zimmer gegangen, und hinter dem Ofen, unter Stöhnen und Ächzen, niedergesunken sei."
1,Das Bettelweib von Locarno,"Der Marchese erschrocken, er wußte selbst nicht recht warum, lachte den Ritter mit erkünstelter Heiterkeit aus, und sagte, er wolle sogleich aufstehen, und die Nacht zu seiner Beruhigung, mit ihm in dem Zimmer zubringen."
1,Das Bettelweib von Locarno,"Doch der Ritter bat um die Gefälligkeit, ihm zu erlauben, daß er auf einem Lehnstuhl, in seinem Schlafzimmer übernachte, und als der Morgen kam, ließ er anspannen, empfahl sich und reiste ab."
1,Das Bettelweib von Locarno,"Dieser Vorfall, der außerordentliches Aufsehen machte, schreckte auf eine dem Marchese höchst unangenehme Weise, mehrere Käufer ab; dergestalt, daß, da sich unter seinem eigenen Hausgesinde, befremdend und unbegreiflich, das Gerücht erhob, daß es in dem Zimmer, zur Mitternachtsstunde, umgehe, er, um es mit einem entscheidenden Verfahren niederzuschlagen, beschloß, die Sache in der nächsten Nacht selbst zu untersuchen."
1,Das Bettelweib von Locarno,"Demnach ließ er, beim Einbruch der Dämmerung, sein Bett in dem besagten Zimmer aufschlagen, und erharrte, ohne zu schlafen, die Mitternacht."
